protein1 protein2 combined_score
9606.ENSP00000000233 9606.ENSP00000314067 197
9606.ENSP00000000233 9606.ENSP00000361263 181
9606.ENSP00000000233 9606.ENSP00000324287 767
9606.ENSP00000000233 9606.ENSP00000469689 197
9606.ENSP00000000233 9606.ENSP00000333657 156
9606.ENSP00000000233 9606.ENSP00000267257 337
9606.ENSP00000000233 9606.ENSP00000444357 320
9606.ENSP00000000233 9606.ENSP00000353864 197
9606.ENSP00000000233 9606.ENSP00000308897 167
9606.ENSP00000000233 9606.ENSP00000253401 182
9606.ENSP00000000233 9606.ENSP00000360141 177
9606.ENSP00000000233 9606.ENSP00000312150 156
9606.ENSP00000000233 9606.ENSP00000361467 156
9606.ENSP00000000233 9606.ENSP00000402935 156
9606.ENSP00000000233 9606.ENSP00000357879 182
9606.ENSP00000000233 9606.ENSP00000306881 379
9606.ENSP00000000233 9606.ENSP00000300026 225
9606.ENSP00000000233 9606.ENSP00000276689 156
9606.ENSP00000000233 9606.ENSP00000216373 175
9606.ENSP00000000233 9606.ENSP00000379191 600
9606.ENSP00000000233 9606.ENSP00000307939 231
9606.ENSP00000000233 9606.ENSP00000372023 167
9606.ENSP00000000233 9606.ENSP00000274289 163
9606.ENSP00000000233 9606.ENSP00000402103 167
9606.ENSP00000000233 9606.ENSP00000349305 375
9606.ENSP00000000233 9606.ENSP00000320295 221
9606.ENSP00000000233 9606.ENSP00000375960 150
9606.ENSP00000000233 9606.ENSP00000466363 293
9606.ENSP00000000233 9606.ENSP00000314214 154
9606.ENSP00000000233 9606.ENSP00000385995 289
9606.ENSP00000000233 9606.ENSP00000261837 167
9606.ENSP00000000233 9606.ENSP00000259351 175
9606.ENSP00000000233 9606.ENSP00000362413 201
9606.ENSP00000000233 9606.ENSP00000272233 208
9606.ENSP00000000233 9606.ENSP00000427463 206
9606.ENSP00000000233 9606.ENSP00000373905 288
9606.ENSP00000000233 9606.ENSP00000381535 169
9606.ENSP00000000233 9606.ENSP00000044462 162
9606.ENSP00000000233 9606.ENSP00000341247 259
9606.ENSP00000000233 9606.ENSP00000447942 165
9606.ENSP00000000233 9606.ENSP00000319096 235
9606.ENSP00000000233 9606.ENSP00000373215 208
9606.ENSP00000000233 9606.ENSP00000256953 171
9606.ENSP00000000233 9606.ENSP00000243298 188
9606.ENSP00000000233 9606.ENSP00000398803 161
9606.ENSP00000000233 9606.ENSP00000306330 170
9606.ENSP00000000233 9606.ENSP00000302895 310
9606.ENSP00000000233 9606.ENSP00000296518 169
9606.ENSP00000000233 9606.ENSP00000234454 320
9606.ENSP00000000233 9606.ENSP00000376333 153
9606.ENSP00000000233 9606.ENSP00000303830 183
9606.ENSP00000000233 9606.ENSP00000400175 299
9606.ENSP00000000233 9606.ENSP00000355759 543
9606.ENSP00000000233 9606.ENSP00000216181 155
9606.ENSP00000000233 9606.ENSP00000336799 234
9606.ENSP00000000233 9606.ENSP00000387286 730
9606.ENSP00000000233 9606.ENSP00000361892 158
9606.ENSP00000000233 9606.ENSP00000339467 261
9606.ENSP00000000233 9606.ENSP00000331342 499
9606.ENSP00000000233 9606.ENSP00000264161 211
9606.ENSP00000000233 9606.ENSP00000427114 318
9606.ENSP00000000233 9606.ENSP00000311962 457
9606.ENSP00000000233 9606.ENSP00000334448 174
9606.ENSP00000000233 9606.ENSP00000263334 153
9606.ENSP00000000233 9606.ENSP00000295256 461
9606.ENSP00000000233 9606.ENSP00000363988 175
9606.ENSP00000000233 9606.ENSP00000445359 164
9606.ENSP00000000233 9606.ENSP00000358474 166
9606.ENSP00000000233 9606.ENSP00000233078 287
9606.ENSP00000000233 9606.ENSP00000264183 258
9606.ENSP00000000233 9606.ENSP00000346921 230
9606.ENSP00000000233 9606.ENSP00000349960 313
9606.ENSP00000000233 9606.ENSP00000380432 605
9606.ENSP00000000233 9606.ENSP00000339191 154
9606.ENSP00000000233 9606.ENSP00000262812 745
9606.ENSP00000000233 9606.ENSP00000215659 178
9606.ENSP00000000233 9606.ENSP00000360985 444
9606.ENSP00000000233 9606.ENSP00000290158 175
9606.ENSP00000000233 9606.ENSP00000397459 188
9606.ENSP00000000233 9606.ENSP00000287394 157
9606.ENSP00000000233 9606.ENSP00000262746 219
9606.ENSP00000000233 9606.ENSP00000354040 297
9606.ENSP00000000233 9606.ENSP00000219479 212
9606.ENSP00000000233 9606.ENSP00000158762 765
9606.ENSP00000000233 9606.ENSP00000449270 757
9606.ENSP00000000233 9606.ENSP00000351777 158
9606.ENSP00000000233 9606.ENSP00000264335 199
9606.ENSP00000000233 9606.ENSP00000311430 197
9606.ENSP00000000233 9606.ENSP00000416097 339
9606.ENSP00000000233 9606.ENSP00000361473 153
9606.ENSP00000000233 9606.ENSP00000265709 628
9606.ENSP00000000233 9606.ENSP00000433102 224
9606.ENSP00000000233 9606.ENSP00000300574 169
9606.ENSP00000000233 9606.ENSP00000320866 197
9606.ENSP00000000233 9606.ENSP00000263245 877
9606.ENSP00000000233 9606.ENSP00000222803 272
9606.ENSP00000000233 9606.ENSP00000217182 252
9606.ENSP00000000233 9606.ENSP00000346599 151
9606.ENSP00000000233 9606.ENSP00000354837 168
9606.ENSP00000000233 9606.ENSP00000300093 163
9606.ENSP00000000233 9606.ENSP00000452762 557
9606.ENSP00000000233 9606.ENSP00000325074 171
9606.ENSP00000000233 9606.ENSP00000280700 273
9606.ENSP00000000233 9606.ENSP00000283195 192
9606.ENSP00000000233 9606.ENSP00000265462 180
9606.ENSP00000000233 9606.ENSP00000278572 150
9606.ENSP00000000233 9606.ENSP00000371230 188
9606.ENSP00000000233 9606.ENSP00000327145 201
9606.ENSP00000000233 9606.ENSP00000251047 398
9606.ENSP00000000233 9606.ENSP00000296526 337
9606.ENSP00000000233 9606.ENSP00000409382 264
9606.ENSP00000000233 9606.ENSP00000381293 212
9606.ENSP00000000233 9606.ENSP00000440005 969
9606.ENSP00000000233 9606.ENSP00000269980 159
9606.ENSP00000000233 9606.ENSP00000250617 190
9606.ENSP00000000233 9606.ENSP00000324792 215
9606.ENSP00000000233 9606.ENSP00000309591 209
9606.ENSP00000000233 9606.ENSP00000341658 151
9606.ENSP00000000233 9606.ENSP00000351015 199
9606.ENSP00000000233 9606.ENSP00000358723 231
9606.ENSP00000000233 9606.ENSP00000428209 157
9606.ENSP00000000233 9606.ENSP00000382492 161
9606.ENSP00000000233 9606.ENSP00000281589 167
9606.ENSP00000000233 9606.ENSP00000268057 200
9606.ENSP00000000233 9606.ENSP00000325002 771
9606.ENSP00000000233 9606.ENSP00000378669 215
9606.ENSP00000000233 9606.ENSP00000413697 320
9606.ENSP00000000233 9606.ENSP00000362590 183
9606.ENSP00000000233 9606.ENSP00000362115 286
9606.ENSP00000000233 9606.ENSP00000365773 300
9606.ENSP00000000233 9606.ENSP00000261636 189
9606.ENSP00000000233 9606.ENSP00000296271 436
9606.ENSP00000000233 9606.ENSP00000468424 313
9606.ENSP00000000233 9606.ENSP00000363970 160
9606.ENSP00000000233 9606.ENSP00000280333 245
9606.ENSP00000000233 9606.ENSP00000246554 310
9606.ENSP00000000233 9606.ENSP00000211287 178
9606.ENSP00000000233 9606.ENSP00000285208 342
9606.ENSP00000000233 9606.ENSP00000353444 403
9606.ENSP00000000233 9606.ENSP00000223366 167
9606.ENSP00000000233 9606.ENSP00000316845 200
9606.ENSP00000000233 9606.ENSP00000367220 150
9606.ENSP00000000233 9606.ENSP00000251157 176
9606.ENSP00000000233 9606.ENSP00000418734 166
9606.ENSP00000000233 9606.ENSP00000360916 160
9606.ENSP00000000233 9606.ENSP00000331748 257
9606.ENSP00000000233 9606.ENSP00000363092 168
9606.ENSP00000000233 9606.ENSP00000439182 213
9606.ENSP00000000233 9606.ENSP00000280551 205
9606.ENSP00000000233 9606.ENSP00000349467 410
9606.ENSP00000000233 9606.ENSP00000256637 160
9606.ENSP00000000233 9606.ENSP00000350199 486
9606.ENSP00000000233 9606.ENSP00000471457 276
9606.ENSP00000000233 9606.ENSP00000382177 284
9606.ENSP00000000233 9606.ENSP00000251472 171
9606.ENSP00000000233 9606.ENSP00000381098 335
9606.ENSP00000000233 9606.ENSP00000379506 197
9606.ENSP00000000233 9606.ENSP00000337797 191
9606.ENSP00000000233 9606.ENSP00000313007 167
9606.ENSP00000000233 9606.ENSP00000338864 175
9606.ENSP00000000233 9606.ENSP00000379838 151
9606.ENSP00000000233 9606.ENSP00000290573 167
9606.ENSP00000000233 9606.ENSP00000251453 162
9606.ENSP00000000233 9606.ENSP00000378313 172
9606.ENSP00000000233 9606.ENSP00000257904 160
9606.ENSP00000000233 9606.ENSP00000355651 242
9606.ENSP00000000233 9606.ENSP00000360922 300
9606.ENSP00000000233 9606.ENSP00000329419 781
9606.ENSP00000000233 9606.ENSP00000314976 187
9606.ENSP00000000233 9606.ENSP00000311083 215
9606.ENSP00000000233 9606.ENSP00000347416 546
9606.ENSP00000000233 9606.ENSP00000306124 189
9606.ENSP00000000233 9606.ENSP00000294179 223
9606.ENSP00000000233 9606.ENSP00000371253 162
9606.ENSP00000000233 9606.ENSP00000420127 188
9606.ENSP00000000233 9606.ENSP00000290949 151
9606.ENSP00000000233 9606.ENSP00000356030 600
9606.ENSP00000000233 9606.ENSP00000439601 168
9606.ENSP00000000233 9606.ENSP00000360154 165
9606.ENSP00000000233 9606.ENSP00000347134 172
9606.ENSP00000000233 9606.ENSP00000232501 187
9606.ENSP00000000233 9606.ENSP00000019317 175
9606.ENSP00000000233 9606.ENSP00000278568 237
9606.ENSP00000000233 9606.ENSP00000242285 234
9606.ENSP00000000233 9606.ENSP00000388510 159
9606.ENSP00000000233 9606.ENSP00000263967 160
9606.ENSP00000000233 9606.ENSP00000251337 282
9606.ENSP00000000233 9606.ENSP00000353590 167
9606.ENSP00000000233 9606.ENSP00000288266 190
9606.ENSP00000000233 9606.ENSP00000381601 156
9606.ENSP00000000233 9606.ENSP00000352603 260
9606.ENSP00000000233 9606.ENSP00000432568 657
9606.ENSP00000000233 9606.ENSP00000240874 286
9606.ENSP00000000233 9606.ENSP00000361298 167
9606.ENSP00000000233 9606.ENSP00000443631 151
9606.ENSP00000000233 9606.ENSP00000268035 183
9606.ENSP00000000233 9606.ENSP00000479618 155
9606.ENSP00000000233 9606.ENSP00000003100 200
9606.ENSP00000000233 9606.ENSP00000245932 158
9606.ENSP00000000233 9606.ENSP00000225174 253
9606.ENSP00000000233 9606.ENSP00000302486 204
9606.ENSP00000000233 9606.ENSP00000359484 310
9606.ENSP00000000233 9606.ENSP00000346046 216
9606.ENSP00000000233 9606.ENSP00000269299 159
9606.ENSP00000000233 9606.ENSP00000365757 165
9606.ENSP00000000233 9606.ENSP00000483552 247
9606.ENSP00000000233 9606.ENSP00000369643 161
9606.ENSP00000000233 9606.ENSP00000375892 165
9606.ENSP00000000233 9606.ENSP00000478755 192
9606.ENSP00000000233 9606.ENSP00000367686 197
9606.ENSP00000000233 9606.ENSP00000178640 204
9606.ENSP00000000233 9606.ENSP00000418770 159
9606.ENSP00000000233 9606.ENSP00000293441 197
9606.ENSP00000000233 9606.ENSP00000435096 338
9606.ENSP00000000233 9606.ENSP00000361275 201
9606.ENSP00000000233 9606.ENSP00000343325 206
9606.ENSP00000000233 9606.ENSP00000261170 244
9606.ENSP00000000233 9606.ENSP00000408236 524
9606.ENSP00000000233 9606.ENSP00000373574 160
9606.ENSP00000000233 9606.ENSP00000348753 158
9606.ENSP00000000233 9606.ENSP00000356982 179
9606.ENSP00000000233 9606.ENSP00000296474 248
9606.ENSP00000000233 9606.ENSP00000360076 165
9606.ENSP00000000233 9606.ENSP00000387282 270
9606.ENSP00000000233 9606.ENSP00000386331 236
9606.ENSP00000000233 9606.ENSP00000200457 161
9606.ENSP00000000233 9606.ENSP00000315136 185
9606.ENSP00000000233 9606.ENSP00000480301 665
9606.ENSP00000000233 9606.ENSP00000346015 356
9606.ENSP00000000233 9606.ENSP00000295240 277
9606.ENSP00000000233 9606.ENSP00000263847 204
9606.ENSP00000000233 9606.ENSP00000369081 158
9606.ENSP00000000233 9606.ENSP00000365692 156
9606.ENSP00000000233 9606.ENSP00000332296 159
9606.ENSP00000000233 9606.ENSP00000445175 318
9606.ENSP00000000233 9606.ENSP00000362222 156
9606.ENSP00000000233 9606.ENSP00000385885 248
9606.ENSP00000000233 9606.ENSP00000262215 443
9606.ENSP00000000233 9606.ENSP00000382428 212
9606.ENSP00000000233 9606.ENSP00000361009 216
9606.ENSP00000000233 9606.ENSP00000370710 153
9606.ENSP00000000233 9606.ENSP00000239940 172
9606.ENSP00000000233 9606.ENSP00000282728 246
9606.ENSP00000000233 9606.ENSP00000000412 157
9606.ENSP00000000233 9606.ENSP00000348602 205
9606.ENSP00000000233 9606.ENSP00000362824 210
9606.ENSP00000000233 9606.ENSP00000363763 158
9606.ENSP00000000233 9606.ENSP00000337040 188
9606.ENSP00000000233 9606.ENSP00000225655 226
9606.ENSP00000000233 9606.ENSP00000357178 253
9606.ENSP00000000233 9606.ENSP00000288943 151
9606.ENSP00000000233 9606.ENSP00000324806 173
9606.ENSP00000000233 9606.ENSP00000251413 155
9606.ENSP00000000233 9606.ENSP00000272317 238
9606.ENSP00000000233 9606.ENSP00000418915 546
9606.ENSP00000000233 9606.ENSP00000364631 162
9606.ENSP00000000233 9606.ENSP00000366563 160
9606.ENSP00000000233 9606.ENSP00000368824 176
9606.ENSP00000000233 9606.ENSP00000479844 175
9606.ENSP00000000233 9606.ENSP00000259818 221
9606.ENSP00000000233 9606.ENSP00000356438 192
9606.ENSP00000000233 9606.ENSP00000388806 187
9606.ENSP00000000233 9606.ENSP00000263088 501
9606.ENSP00000000233 9606.ENSP00000460823 154
9606.ENSP00000000233 9606.ENSP00000438085 654
9606.ENSP00000000233 9606.ENSP00000371331 152
9606.ENSP00000000233 9606.ENSP00000290866 161
9606.ENSP00000000233 9606.ENSP00000333685 178
9606.ENSP00000000233 9606.ENSP00000239223 151
9606.ENSP00000000233 9606.ENSP00000320117 254
9606.ENSP00000000233 9606.ENSP00000336666 565
9606.ENSP00000000233 9606.ENSP00000331901 395
9606.ENSP00000000233 9606.ENSP00000340820 166
9606.ENSP00000000233 9606.ENSP00000466298 209
9606.ENSP00000000233 9606.ENSP00000277010 317
9606.ENSP00000000233 9606.ENSP00000310129 178
9606.ENSP00000000233 9606.ENSP00000469413 197
9606.ENSP00000000233 9606.ENSP00000356567 177
9606.ENSP00000000233 9606.ENSP00000379457 156
9606.ENSP00000000233 9606.ENSP00000352834 213
9606.ENSP00000000233 9606.ENSP00000270625 195
9606.ENSP00000000233 9606.ENSP00000407552 163
9606.ENSP00000000233 9606.ENSP00000376475 192
9606.ENSP00000000233 9606.ENSP00000254846 231
9606.ENSP00000000233 9606.ENSP00000451291 239
9606.ENSP00000000233 9606.ENSP00000359552 189
9606.ENSP00000000233 9606.ENSP00000367407 322
9606.ENSP00000000233 9606.ENSP00000382423 178
9606.ENSP00000000233 9606.ENSP00000273398 207
9606.ENSP00000000233 9606.ENSP00000269571 197
9606.ENSP00000000233 9606.ENSP00000298510 238
9606.ENSP00000000233 9606.ENSP00000346206 372
9606.ENSP00000000233 9606.ENSP00000484121 782
9606.ENSP00000000233 9606.ENSP00000261263 221
9606.ENSP00000000233 9606.ENSP00000222145 161
9606.ENSP00000000233 9606.ENSP00000222330 173
9606.ENSP00000000233 9606.ENSP00000280772 634
9606.ENSP00000000233 9606.ENSP00000285735 223
9606.ENSP00000000233 9606.ENSP00000264380 160
9606.ENSP00000000233 9606.ENSP00000389326 161
9606.ENSP00000000233 9606.ENSP00000348828 175
9606.ENSP00000000233 9606.ENSP00000451752 623
9606.ENSP00000000233 9606.ENSP00000274353 153
9606.ENSP00000000233 9606.ENSP00000451828 261
9606.ENSP00000000233 9606.ENSP00000262225 671
9606.ENSP00000000233 9606.ENSP00000357087 150
9606.ENSP00000000233 9606.ENSP00000347792 219
9606.ENSP00000000233 9606.ENSP00000379842 177
9606.ENSP00000000233 9606.ENSP00000334051 177
9606.ENSP00000000233 9606.ENSP00000444850 710
9606.ENSP00000000233 9606.ENSP00000328551 936
9606.ENSP00000000233 9606.ENSP00000219476 198
9606.ENSP00000000233 9606.ENSP00000313869 432
9606.ENSP00000000233 9606.ENSP00000352925 163
9606.ENSP00000000233 9606.ENSP00000262903 157
