protein1 protein2 combined_score
4932.Q0045 4932.YML120C 907
4932.Q0045 4932.YOR257W 315
4932.Q0045 4932.YGR033C 351
4932.Q0045 4932.YKL155C 419
4932.Q0045 4932.YDR375C 361
4932.Q0045 4932.YBR037C 816
4932.Q0045 4932.YHR066W 192
4932.Q0045 4932.YBR118W 408
4932.Q0045 4932.YHR086W 288
4932.Q0045 4932.YMR293C 281
4932.Q0045 4932.YPR166C 201
4932.Q0045 4932.YDR119W-A 958
4932.Q0045 4932.YLR204W 281
4932.Q0045 4932.YEL024W 995
4932.Q0045 4932.Q0275 999
4932.Q0045 4932.YDR256C 189
4932.Q0045 4932.YOR202W 163
4932.Q0045 4932.YEL039C 564
4932.Q0045 4932.YPL235W 193
4932.Q0045 4932.Q0080 876
4932.Q0045 4932.YDL004W 305
4932.Q0045 4932.YPL252C 790
4932.Q0045 4932.YNL182C 159
4932.Q0045 4932.YBL045C 998
4932.Q0045 4932.YKL195W 190
4932.Q0045 4932.YPL078C 474
4932.Q0045 4932.YLR395C 999
4932.Q0045 4932.YJR121W 413
4932.Q0045 4932.YGL187C 999
4932.Q0045 4932.YML030W 840
4932.Q0045 4932.YNL031C 193
4932.Q0045 4932.YIL111W 996
4932.Q0045 4932.YJR066W 167
4932.Q0045 4932.YKL141W 436
4932.Q0045 4932.YPR024W 422
4932.Q0045 4932.YLR008C 372
4932.Q0045 4932.YHR051W 999
4932.Q0045 4932.YOR158W 159
4932.Q0045 4932.YJR113C 356
4932.Q0045 4932.YMR203W 200
4932.Q0045 4932.YMR038C 162
4932.Q0045 4932.YFR032C-A 167
4932.Q0045 4932.YBR039W 266
4932.Q0045 4932.YMR072W 241
4932.Q0045 4932.YNR018W 956
4932.Q0045 4932.YGR027C 294
4932.Q0045 4932.YIL022W 160
4932.Q0045 4932.YGL107C 241
4932.Q0045 4932.YNR017W 315
4932.Q0045 4932.YPL013C 330
4932.Q0045 4932.YER102W 265
4932.Q0045 4932.YPL234C 253
4932.Q0045 4932.YBL030C 315
4932.Q0045 4932.YFR033C 988
4932.Q0045 4932.YLL009C 837
4932.Q0045 4932.YLL018C-A 577
4932.Q0045 4932.YML054C 215
4932.Q0045 4932.YMR256C 998
4932.Q0045 4932.YNR037C 217
4932.Q0045 4932.YIL065C 221
4932.Q0045 4932.YJR051W 217
4932.Q0045 4932.YBL099W 732
4932.Q0045 4932.YLR163C 760
4932.Q0045 4932.YKL016C 242
